SampleID,Score
Sample5916,9.07796396567509
Sample1457,10.0457635767009
Sample3428,10.7863981412533
Sample5888,3.25003515092939
Sample2122,5.12940029740062
Sample3646,7.71400757396411
Sample5338,6.5491280519919
Sample3651,5.96274894363944
Sample1359,6.82203143673125
Sample822,3.31736630409466
Sample5375,12.3222204806783
Sample3993,12.0974208207002
Sample1021,8.4452494094642
Sample577,6.54431076386421
Sample4460,5.12386814521657
Sample3036,3.34594509650024
Sample2128,6.40229324036121
Sample4740,7.88986866466666
Sample3904,5.47657955378733
Sample2399,8.45782977006909
Sample5080,5.63361264034545
Sample2558,2.68442779817182
Sample3453,3.03519763362287
Sample49,8.01728321858779
Sample2766,10.0552342708462
Sample1114,8.06967950918663
Sample4718,2.64806315079879
Sample3725,6.57555729976621
Sample138,6.07409954069338
Sample729,4.06869042017605
Sample3946,11.0104768900464
Sample435,6.47326045329392
Sample2177,NA
Sample2092,6.96884750500722
Sample2594,14.4759154615355
Sample5536,6.30662799433231
Sample491,7.73969430279768
Sample5182,6.87907234419068
Sample612,6.19312232600505
Sample1116,6.03400668489255
Sample3836,12.2127204944068
Sample5590,2.02365005593124
Sample5188,6.34744857653049
Sample5141,5.94872666349402
Sample4678,10.6968489804459
Sample1994,4.97273270942083
Sample3034,2.07635057903437
Sample4695,10.0314723803574
Sample66,6.62128228797129
Sample2285,8.86653950599478
Sample472,9.54865201149772
Sample5881,3.94449008859081
Sample5562,7.02914061088768
Sample2730,5.54195296938329
Sample3546,3.84781312478864
Sample5022,7.99580746250524
Sample1645,2.78266610385108
Sample2929,4.68443336706217
Sample529,NA
Sample2066,6.64569161726918
Sample4985,5.8286510281255
Sample5053,5.87985211532287
Sample2371,5.45035226825928
Sample4410,6.83996780745888
Sample5168,6.04961003860984
Sample1145,6.56655121483106
Sample2882,NA
Sample4062,5.95344332846671
Sample204,4.66338046015121
Sample3026,10.7754584381913
Sample107,8.51969899754793
Sample5506,10.1986148126711
Sample719,6.93608596406138
Sample4498,6.02753611267173
Sample1179,2.87181507204377
Sample4212,4.60382046829363
Sample4200,4.50268159289371
Sample3418,5.86659605850372
Sample2580,2.50687627298784
Sample1204,6.83940315123752
Sample3174,8.9900497264458
Sample5323,6.96686700983911
Sample4236,6.37734117743848
Sample841,3.99164458684549
Sample5298,9.07511336012847
Sample1513,3.9841041708465
Sample2585,6.36194024151016
Sample5623,4.0561476452828
Sample1471,5.6662290519865
Sample1515,4.08620250988796
Sample3446,9.45316506871567
Sample3193,6.62688700148666
Sample216,4.37291532225333
Sample420,2.75331066624646
Sample5733,4.32930336096321
Sample1307,5.25342516068115
Sample2250,10.74640944259
Sample2842,12.5585459925483
Sample4634,4.70107296071031
Sample1250,5.20220418804466
Sample1025,3.28769531714747
Sample554,11.8210095016537
Sample4067,12.6652063508105
Sample2767,6.66167712262971
Sample4040,5.34864149246712
Sample5439,3.35736227968124
Sample5882,4.14652105975824
Sample5626,9.77267852692489
Sample5652,7.71790902314971
Sample4927,2.62499336820668
Sample3971,2.82794509907117
Sample3893,12.6380190446409
Sample4266,4.00027103827848
Sample298,NA
Sample1822,4.61657310326052
Sample355,6.20136293115953
Sample1948,9.55890512121337
Sample4253,4.48297320085443
Sample2747,3.9944271711165
Sample3044,3.29807409325323
Sample3113,9.26936668402552
Sample2265,2.86553483797959
Sample2591,10.1025456445022
Sample4568,14.4800900019172
Sample4907,4.37533723124775
Sample105,10.3449714010457
Sample22,4.9354524019504
Sample3267,3.44451387001266
Sample2888,6.10025795847505
Sample3018,4.60996668602657
Sample3367,9.67799411910677
Sample1420,5.36047199979915
Sample2797,9.42751357926354
Sample4107,2.93980258534608
Sample4276,17.1121957059291
Sample3955,3.31580735190433
Sample2821,4.89895940135023
Sample576,2.91132467873709
Sample2400,6.0004442491465
Sample1806,10.1398563745119
Sample5993,3.68801598662314
Sample1559,10.4573794370963
Sample4982,5.42820685836285
Sample2231,5.99914154353595
Sample2896,4.12720405470316
Sample3213,4.92248865956759
Sample5228,7.17480717046006
Sample223,2.58448229801475
